Lemma,Rank,SFI,U
quality,595,60.03,100.77
date,563,60.01,100.22
clean,608,59.95,98.85
marry,618,59.94,98.61
straight,553,59.93,98.29
fill,667,59.9,97.75
hot,675,59.9,97.64
twenty,188,59.9,97.64
unless,585,59.82,95.85
per,561,59.81,95.61
specific,655,59.78,95.03
park,674,59.77,94.92
ought,560,59.77,94.89
holiday,642,59.74,94.18
evening,678,59.73,93.87
relate,677,59.68,92.89
ring,399,59.68,92.92
machine,610,59.66,92.37
sleep,597,59.64,92.02
review,695,59.63,91.82
hang,625,59.57,90.62
cool,611,59.56,90.41
red,711,59.53,89.84
fit,547,59.51,89.35
hate,657,59.45,88.02
quick,687,59.44,87.91
various,716,59.4,87.07
floor,684,59.33,85.73
bed,478,59.33,85.66
apply,714,59.31,85.36
fairly,641,59.29,84.88
bottom,603,59.26,84.32
size,665,59.25,84.21
totally,698,59.21,83.31
sister,645,59.06,80.61
therefore,699,59.05,80.31
clock,445,59.03,79.92
window,673,59.01,79.69
breath,307,59.01,79.69
lady,688,58.99,79.28
contact,691,58.98,79.16
council,630,58.98,79.03
aware,690,58.97,78.86
extra,668,58.84,76.5
brief,583,58.81,76.11
hair,654,58.76,75.17
purpose,719,58.74,74.81
thirty,256,58.68,73.86
plus,686,58.67,73.65
mathematics,505,58.57,72.01
bus,720,58.56,71.73
grade,565,58.47,70.25
dinner,643,58.43,69.61
fifty,278,58.37,68.77
bet,717,58.34,68.28
bag,670,58.33,68.13
cheap,707,58.31,67.8
copy,693,57.99,62.97
load,577,57.89,61.54
normally,718,57.75,59.58
bother,615,57.73,59.34
awful,703,57.67,58.45
alright,294,57.59,57.41
cough,438,57.3,53.67
till,537,57.21,52.58
bloody,451,57.09,51.11
shall,555,57.06,50.83
forty,373,57,50.07
text,639,56.99,50.02
lovely,497,56.93,49.37
dear,516,56.79,47.77
noise,646,56.66,46.31
twelve,401,56.05,40.23
nineteen,380,55.98,39.64
tea,656,55.61,36.35
eighty,450,55.52,35.62
ninety,429,55.24,33.42
fifteen,484,55.18,32.98
sixty,468,54.98,31.47
eleven,581,54.66,29.22
seventy,539,54.65,29.21
